titleLatin,titleEnglish,genre,CEFR,latin,english
Nova Vocabula Discere,Learning New Vocabulary,monologue,A1,"Discipuli, verba nova discere semper necesse est. Cum novum verbum audio, in mente mea ponere conor. Primum verbum lego, deinde scribo, et iterum dico voce clara. Sic memoria me iuvat. Saepius verba cum amicis exerceo: ego dico, ille respondet, et simul ridemus. Si verbum obliviscor, non despero, sed iterum legere et audire tempto. Nonnulla verba cum picturis coniungo: si verbum est “aqua,” imaginem aquae in mente video. Si verbum est “canis,” statim animal in via recordor. Quo plura verba disco, eo facilius fabulas intellego et novas sententias facere possum. Vita discipuli difficilis est, sed bene studere me delectat. Verba nova mihi viam aperiunt ad litteras, ad historias, ad mundum totum.","Students, it is always necessary to learn new words. When I hear a new word, I try to keep it in my mind. First I read the word, then I write it, and then I say it again out loud. This helps my memory. I often practice words with friends: I say it, he answers, and we laugh together. If I forget a word, I don’t despair, but I try to read and listen to it again. I associate some words with pictures: if the word is “water,” I see an image of water in my mind. If the word is “dog,” I immediately remember the animal on the road. The more words I learn, the easier I understand stories and can make new sentences. The life of a student is difficult, but studying well makes me happy. New words open the way for me to literature, to stories, to the whole world."
Cubiculum Meum Purgare,Cleaning My Room,monologue,A1,"Hodie cubiculum meum purgo. Multa sunt in mensa et in terra. Librum in librarium pono. Mensa stercoribus plena est; omnia aufero. In angulo saccus vestimentorum iacet. Vestimenta in armarium mitto. Sub mensa panis vetus est; illum in canistrum iacio. Aqua parva est in poculo; eam effundo. Postea fenestram aperio. Aer novus intrat, et bene mihi est. Nunc cubiculum meum est purum et clarum.","Today I am cleaning my room. There are many things on the table and on the floor. I put the book on the bookshelf. The table is full of rubbish; I take it all away. In the corner lies a sack of clothes. I put the clothes in the cupboard. There is old bread under the table; I throw it in the basket. There is a little water in the cup; I pour it out. Then I open the window. Fresh air comes in, and I feel good. Now my room is clean and bright."
Crustula Coquere,Baking Cookies,monologue,A1,"Panem dulcem facere volo. In culina sum. Hic mensa est, hic patella est. Farinam capio et in patellam pono. Ova frango et cum farina misceo. Butyrum et mel addo. Omnia bene misceo. Nunc patellam in furnum pono. Furnus calidus est. Exspecto paulisper. Odor dulcis venit. Ego gaudeo. Nunc patellam ex furno capio. Crustula parva sunt. Crustula calida sunt. Dente edo crustulum. Crustulum dulce est, bene sapit. Vita bona est.","I want to make sweet bread. I am in the kitchen. Here is the table, here is the plate. I take the flour and put it in the plate. I break the eggs and mix them with the flour. I add the butter and honey. I mix everything well. Now I put the plate in the oven. The oven is hot. I wait a little. A sweet smell comes. I am happy. Now I take the plate out of the oven. The cookies are small. The cookies are hot. I eat the cookie with my teeth. The cookie is sweet, it tastes good. Life is good."
Urbs Mea Optima,My Favorite City,monologue,A1,"Urbs mihi maxima placet Roma. Roma antiqua et magna est. Multae viae rectae sunt et multae aedes altae sunt. In foro homines semper laborant et loquuntur. Templi multa sunt ubi dei coluntur. In viis ego ambulo et multas res video. Aqua in fontibus clara est, et pueri in viis ludunt. Roma habet muros magnos et portas altas. In urbe sunt theatra ubi populus spectat fabulas. Ego amo Romam quod plena est vitae et historiae. Roma est urbs mea optima.","The city I like the most is Rome. Rome is ancient and great. There are many straight roads and many tall buildings. In the forum people are always working and talking. There are many temples where the gods are worshipped. I walk along the streets and see many things. The water in the fountains is clear, and children play in the streets. Rome has great walls and high gates. There are theaters in the city where people watch plays. I love Rome because it is full of life and history. Rome is my best city."
Dies in Ludis Publicis,A Day at an Amusement Park,monologue,A1,,
Dies in Horto Bestiarum,A Day at the Zoo,monologue,A1,"Hodie ad hortum bestiarum eo. Multae bestiae ibi sunt. Video leonem. Leo magnus est et rugit. Video ursum. Ursus dormit. Video simias. Simiae currunt et clamant. Video elephantum. Elephantus aquam bibit. Ambulo lente et specto bestias. Pueri et puellae ridere incipiunt. Magister dicit: “Ecce zebra! Ecce camelus!” Sole occidente domum revenio. Dies longus, sed laetus fuit.",Today I go to the zoo. There are many animals there. I see a lion. The lion is big and roars. I see a bear. The bear is sleeping. I see monkeys. The monkeys run and shout. I see an elephant. The elephant drinks water. I walk slowly and look at the animals. The boys and girls start laughing. The teacher says: “Here is a zebra! Here is a camel!” I return home at sunset. It was a long but happy day.
Dies in Rure,A Day in the Countryside,monologue,A1,"Hodie ruri sum. Sol lucet et caelum est serenum. In agris ambulo et aves audio canere. Arbor magna ante me stat, et sub arbore sedeo. Aqua clara in rivo currit, et flores pulchri in prato crescunt. Agricola bovem ducit et in agro laborat. Ego eum saluto: “Salve, agricola!” Ille respondet: “Salve!” Postea parvum canem video; canis currit et latrat. Ego rideo et canem voco. Dies ruri tranquillus est. Nihil timeo, nihil laboro. Ego solum specto, audio, et gaudeo.","Today I am in the countryside. The sun is shining and the sky is clear. I walk in the fields and I hear birds singing. A large tree stands before me, and I sit under it. Clear water runs in a stream, and beautiful flowers grow in a meadow. A farmer leads an ox and works in the field. I greet him: “Hello, farmer!” He replies: “Hello!” Later I see a small dog; the dog runs and barks. I laugh and call the dog. The day in the countryside is peaceful. I fear nothing, I work nothing. I only watch, listen, and rejoice."
Quaerere Viam,Asking for Directions,dialogue,A1,,
Auxilium in Aeroportu Petere,Asking for Help at the Airport,dialogue,A1,,
Rogare de Retis Accessu,Asking for Wi-Fi Access,dialogue,A1,,
Apud Medicum Dentium,At the Dentist,dialogue,A1,,
Cubiculum in Deversorio Reserare,Booking a Hotel Room,dialogue,A1,,
Ad Deversorium Venire et Nomen Dare,Checking into a Hotel,dialogue,A1,,
Ora Solis,Costa del Sol,travel,A1,,
Pericula Retis Socialis,Dangerous Aspects of Social Media,technology,A1,"Multi iuvenes telephonum semper tenent. Imagines et verba in rete ponunt. Alii amicos novos invenire volunt. Sed res sociales saepe non sunt tutae. Aliqui mentiuntur: dicunt se alios esse. Aliqui verba mala scribunt et alios laedunt. Nimis diu in rete manere corpus et animus laedit. Somnus fugit, oculi defatigantur. Non semper vera sunt quae in rete vides. Oportet cautus esse et tempus moderari.","Many young people always have their phones on. They post pictures and words online. Others want to find new friends. But social media is often not safe. Some lie: they say they are different. Some write bad words and hurt others. Staying online for too long damages the body and mind. Sleep escapes, the eyes get tired. What you see online is not always true. You need to be careful and control your time."
Oases in Deserto,Desert Oases,science,A1,,
De Allergia Dicere,Discussing an Allergy,dialogue,A1,,
Habentne Animalia Ingenia?,Do Animals Have Personalities?,psychology,A1,,
Terrae Motus,Earthquakes,science,A1,,
Arcae Primae Salutis,First Aid Kits,health,A1,,
Autoraedae Volantes,Flying Cars,science fiction,A1,Currus in via currit. Nunc novi currus volant. Currus volans super domos it. Homo currum volantem videt et gaudet. Currus volans in caelo est sicut avis. Alius homo dicit: “Ego quoque currum volantem habere volo.” Currus volantes celeres sunt et pulchri. In futuro multi homines currus volantes habebunt.,"A car is running on the road. Now new cars are flying. A flying car is going over houses. A man sees a flying car and is happy. A flying car is like a bird in the sky. Another man says: “I also want to have a flying car.” Flying cars are fast and beautiful. In the future, many people will have flying cars."
Capillos Tondere,Getting a Haircut,dialogue,A1,,
Cibus Sanus,Healthy Eating,health,A1,,
Amicum ad Convivia Vocare,Inviting a Friend to a Party,dialogue,A1,,
Estne Ientaculum Momentum?,Is Breakfast Important?,health,A1,,
Vita in Marte,Life on Mars,science fiction,A1,"Mars est planeta ruber. In caelo nocturno clarus apparet. Multi homines rogant: estne vita in Marte? Aqua parva in terra Martis invenitur. Si aqua est, fortasse animalia parva vivere possunt. Homo nondum in Martem venit, sed machinae parvae iam ambulant ibi. Illae machinae terram et saxa spectant. Forte aliquando homines in Marte habitabunt. Tunc nova vita incipiet sub caelo rubro.","Mars is a red planet. It appears bright in the night sky. Many people ask: is there life on Mars? A little water is found on the surface of Mars. If there is water, perhaps small animals can live there. Man has not yet come to Mars, but small machines are already walking there. Those machines look at the ground and rocks. Perhaps one day people will live on Mars. Then a new life will begin under the red sky."
Magnetes in Vita Cotidiana,Magnets in Everyday Life,technology,A1,,
Metropolis,Metropolis,science fiction,A1,"Civitas magna est. Domus altae fumum emittunt. Multi operarii sub terra laborant. Manus eorum semper moventur, corpora fessa sunt. Super terram, divites in hortis ambulant et in aedibus splendidis habitant. Dominus urbis est Iohannes Fredersen. Filius eius Freder videt operarios laborare et tristitiam sentit. Invenit feminam nomine Maria, quae operariis spem dat et pacem promittit. Freder amat Mariam. Iohannes timet. Facit machinarium hominem, qui similis Mariae est. Haec falsa Maria incendia movet et operarios ad iram ducit. Sub terra turba furit, aquam in machinas mittit, et domus ruere incipiunt. Pueri et feminae in periculo sunt. Freder et vera Maria pueros servant. Operarii intellegunt se deceptos esse. Ad finem Freder manum patris tenet et manum operarii ducis coniungit. Dicunt: ""Caput et manus debent cor habere."" Ita civitas salvatur.","The city is large. The tall buildings emit smoke. Many workers work underground. Their hands are always moving, their bodies are tired. Above ground, the rich walk in gardens and live in splendid houses. The lord of the city is Johannes Fredersen. His son Freder sees the workers working and feels sad. He finds a woman named Maria, who gives the workers hope and promises peace. Freder loves Maria. Johannes is afraid. He makes a machine man who looks like Maria. This false Maria starts fires and drives the workers to anger. Underground, the crowd rages, pours water into the machines, and the houses begin to collapse. The children and women are in danger. Freder and the real Maria protect the children. The workers realize that they have been deceived. In the end, Freder holds his father's hand and joins the hand of the worker leader. They say: ""The head and hands must have a heart."" Thus the city is saved."
Fungi,Mushrooms,food,A1,,
Schola Mea,My Classroom,monologue,A1,,
Cibus Meus Dilectissimus,My Favorite Food,monologue,A1,,
Otium Meum Dilectissimum,My Favorite Hobby,monologue,A1,,
Primum Conatum Coquendi Meum,My First Cooking Attempt,monologue,A1,,
Domus Mea,My Home,monologue,A1,,
Iter Meum Matutinum,My Morning Commute,monologue,A1,,
Consuetudo Mea Matutina,My Morning Routine,monologue,A1,,
Vicinia Mea,My Neighborhood,monologue,A1,,
Animalia Mea Animalia Domestica,My Pets,monologue,A1,,
Vesper Anni Novi in ​​Hispania,New Year's Eve in Spain,culture,A1,,
Animalia Nocturna,Nocturnal Animals,science,A1,,
Glaciem Cremoris Ordinare,Ordering Ice Cream,dialogue,A1,,
Sarcinas ad Ferias Congerere,Packing for a Vacation,monologue,A1,,
Frusta Solani Fricta,Patatas bravas,food,A1,,
Systema Politica Mundi,Political Systems of the World,politics,A1,In mundo sunt multa systemata politica. Nonnullae civitates habent regem. Rex est vir qui regit. Regina est femina quae regit. Aliquae civitates habent rem publicam. In republica populus eligit magistratus. In nonnullis civitatibus est democratia. In democratia multi cives suffragium dant. In aliis civitatibus est dictatura. In dictatura unus homo imperium habet. Omnia systemata quaerunt ordinem in civitate. Sed populi et mores sunt diversi.,"There are many political systems in the world. Some cities have a king. A king is a man who rules. A queen is a woman who rules. Some cities have a republic. In a republic, the people elect the magistrates. In some cities there is democracy. In a democracy, many citizens vote. In other cities there is a dictatorship. In a dictatorship, one person has power. All systems seek order in the city. But people and customs are different."
Emptio Munerum Edibilium,Shopping for Edible Souvenirs,dialogue,A1,,
Emptio Mercium,Shopping for Groceries,monologue,A1,,
Consilia Simplicia ad Somnum Melius,Simple Tips for Better Sleep,health,A1,,
Agitatio Spiritualis,Spirited Away,fantasy,A1,,
Activus Intra Domum Manere,Staying Active Indoors,health,A1,,
Sushium,Sushi,food,A1,"Sushium cibus Iaponicus est. In sushio est piscis crudus, oryza alba, et algæ. Homines baculis sushium edunt. Multi homines in mundo sushium amant. In tabernis Iaponicis saepe sushium paratur. Ego quoque sushium edere volo.","Sushi is a Japanese food. Sushi consists of raw fish, white rice, and seaweed. People eat sushi with chopsticks. Many people in the world love sushi. Sushi is often prepared in Japanese restaurants. I want to eat sushi too."
Inspectio Securitatis Aeroportus,The Airport Security Check,dialogue,A1,,
Pistrinum,The Bakery,dialogue,A1,,
Litus,The Beach,dialogue,A1,,
Taberna Libraria,The Bookstore,dialogue,A1,,
Castra,The Campsite,dialogue,A1,,
Cafeteria Felis,The Cat Cafe,dialogue,A1,,
Taberna Commoda,The Convenience Store,dialogue,A1,,
Speculum Maledictum,The Cursed Mirror,horror,A1,,
Officium Medici,The Doctor's Office,dialogue,A1,,
Taberna Electronica,The Electronics Store,dialogue,A1,,
Primus Dies in Novo Labore,The First Day at a New Job,monologue,A1,,
Thesaurus Occultus,The Hidden Treasure,monologue,A1,,
Theatrum Cinematographicum,The Movie Theater,dialogue,A1,,
Pharmacopola,The Pharmacy,dialogue,A1,,
Ianua Secreta,The Secret Door,monologue,A1,,
Systema Solare,The Solar System,science,A1,,
Raedarium,The Taxi,dialogue,A1,,
Conventus Pessimus,The Terrible Date,dialogue,A1,,
Statio Ferrea,The Train Station,dialogue,A1,,
Aetas Vikingorum,The Viking Age,history,A1,,
Tempestas Hodierna,Today's Weather,monologue,A1,,
Intra Captus,Trapped Inside,horror,A1,,
Typice Romanum,Typically Roman,culture,A1,"Romanus togam portat. Femina stola utitur. Domus Romana est magna cum atrio et horto. In foro Romani ambulant et negotia agunt. Viae rectae sunt et lapidibus factae. Milites Romani gladium et scutum portant. In amphitheatro populus spectacula videt. Romani deos multos colunt et templa aedificant. Cibus Romanus est panis, vinum, et olivum oleum. Haec omnia sunt res typicae Romanorum.","A Roman man wears a toga. A woman wears a stole. A Roman house is large with a courtyard and a garden. In the forum, Romans walk and conduct business. The roads are straight and made of stone. Roman soldiers carry swords and shields. In the amphitheater, the people watch spectacles. Romans worship many gods and build temples. Roman food is bread, wine, and olive oil. All of these are typical Roman things."
Visitatio Musei,Visiting a Museum,monologue,A1,,
Visitatio Aquarii,Visiting an Aquarium,monologue,A1,,
Quid est Benignitas?,What is Kindness?,psychology,A1,,
Quid est Politica?,What is Politics?,politics,A1,"Politica est de vita communi. In urbe multi homines habitant. Homines leges faciunt et servant. Leges sunt regulae pro civitate. Cives de rebus publicis cogitant. Cives magistrum eligunt. Magister populum audit et iuvat. Magister pacem et ordinem servat. Si cives pugnant, vita difficilis est. Si cives cooperantur, vita bona est. Itaque politica est ars bene vivendi cum aliis.","Politics is about common life. Many people live in a city. People make and keep laws. Laws are rules for the city. Citizens think about public affairs. Citizens elect a teacher. The teacher listens to the people and helps them. The teacher maintains peace and order. If citizens fight, life is difficult. If citizens cooperate, life is good. Therefore, politics is the art of living well with others."
Quid est Wi-Fi?,What is Wi-Fi?,technology,A1,,
Cur Animalia Nos Beatos Reddunt?,Why Do Animals Make Us Happy?,psychology,A1,,
,Why Is Rome So Important?,history,A1,,
Cur Plantae Solem Egent,Why Plants Need Sunlight,science,A1,,
Dies in Bibliotheca,A Day at the Library,monologue,A2,,
Cena Duobus,A Dinner for Two,dialogue,A2,,
Albertus Einstein,Albert Einstein,biography,A2,,
Intelligentia Artificialis,Artificial Intelligence,technology,A2,"Multi homines nunc de intellegentia artificiosa cogitant. Haec res est nova, sed cito crescit. Computatra non solum numeros celeriter computant, sed etiam verba legere et imagines agnoscere possunt. Nonnulli gaudent, quod vita facilior fit: discipuli cito responsa quaerere possunt, medici auxilia accipiunt, mercatores novas res vendere discunt. Alii autem timent. Dicunt: “Si machinae nimis sapiunt, quid de hominibus fiet?” Sed memoria tenendum est: machinae non sentiunt sicut homines. Eae instrumenta sunt, quae nos adiuvant, non domini nostri. Itaque oportet homines prudentiam adhibere. Si bene utimur, intellegentia artificiosa magnum beneficium erit pro mundo.","Many people are now thinking about artificial intelligence. This is a new phenomenon, but it is growing rapidly. Computers can not only calculate numbers quickly, but also read words and recognize images. Some are happy that life is becoming easier: students can quickly look up answers, doctors receive help, merchants learn new things to sell. Others are afraid. They say: “If machines become too smart, what will happen to humans?” But we must remember: machines do not think like humans. They are tools that help us, not our masters. Therefore, humans must use prudence. If we use them well, artificial intelligence will be a great benefit to the world."
Barcino,Barcelona,travel,A2,,
Vasconica,Basque,language,A2,,
Balaenae Caeruleae,Blue Whales,science,A2,,
Consilia Itineris Parvi Pretii,Budget Travel Tips,travel,A2,,
Buenos Aires,Buenos Aires,travel,A2,,
Emere Munera,Buying Souvenirs,dialogue,A2,,
Vocare Ambulantiam,Calling an Ambulance,dialogue,A2,,
Deversoria Capsularia,Capsule Hotels,travel,A2,,
Catalana,Catalan,language,A2,,
Horti Urbani,City Parks,travel,A2,,
Cibus Solationis,Comfort Food,food,A2,,
Cympana,Compasses,technology,A2,,
Sushi Taeniae Transportatoriae,Conveyor Belt Sushi,food,A2,,
Corduba,Córdoba,travel,A2,,
Dies Mortuorum,Day of the Dead,culture,A2,,
Dinosauria,Dinosaurs,science,A2,,
Don Quixote,Don Quixote,drama,A2,,
Empanadas,Empanadas,food,A2,,
Exploratio Silvae,Exploring a Forest,monologue,A2,,
Exploratio Lutetiae,Exploring Paris,monologue,A2,,
Hispanicum Formale,Formal Spanish,language,A2,,
Gazpacho,Gazpacho,food,A2,,
Georgius Orwell,George Orwell,biography,A2,,
GPS,GPS,technology,A2,,
Guernica,Guernica,culture,A2,,
Hibernatio,Hibernation,science,A2,,
Honoratium Cataloniae,Homage to Catalonia,history,A2,,
Quomodo Colores Affectus Afficiunt,How Colors Affect Emotions,psychology,A2,,
Quomodo Stellae Nascuntur,How Stars Are Born,science,A2,,
Aromata Indica,Indian Spices,food,A2,,
Ramen Instantaneum,Instant Ramen,food,A2,,
Communicatio Intergalactica,Intergalactic Communication,science fiction,A2,,
Ianuarius in Hispania,January in Spain,culture,A2,,
Iunius in Hispania,June in Spain,culture,A2,,
Ladinus,Ladino,language,A2,,
Londinium,London,travel,A2,,
Matritum,Madrid,travel,A2,,
Maius in Hispania,May in Spain,culture,A2,,
Miguel de Cervantes,Miguel de Cervantes,biography,A2,,
October in Hispania,October in Spain,culture,A2,,
Pablo Picasso,Pablo Picasso,biography,A2,,
Paella,Paella,food,A2,,
Observatio Hominum in Statione Ferrea,People-Watching in a Train Station,monologue,A2,,
Pizza,Pizza,food,A2,,
Factiones Politicae in Hispania,Political Parties in Spain,politics,A2,,
Praeparatio ad Examen,Preparing for an Exam,monologue,A2,,
Recyclatio,Recycling,technology,A2,,
Dissimilitudines Regionales Hispanice,Regional Differences in Spanish,language,A2,,
Roma,Rome,travel,A2,,
Sagrada Familia,Sagrada Família,culture,A2,,
Salvador Dalí,Salvador Dalí,biography,A2,,
Autocineta Automata,Self-Driving Cars,technology,A2,,
Seoul,Seoul,travel,A2,,
September in Hispania,September in Spain,culture,A2,,
Emptio Vestium,Shopping for Clothes,dialogue,A2,,
Voluptates Simplices,Simple Pleasures,monologue,A2,,
Domus Intelligentes,Smart Homes,technology,A2,,
Energia Solaris in Hispania,Solar Power in Spain,technology,A2,,
Ientaculum Romanum,Roman Breakfast,food,A2,"Romani mane parvum cibum edunt. Ientaculum non magnum est. Saepe panem siccum cum oleo vel caseo sumunt. Alii ova edunt aut mel cum pane. Pueri lactem bibunt; viri saepe vinum aquā mixtum habent. Multi Romani non diu sedent, sed celeriter edunt antequam in forum ambulant. Ientaculum igitur simplex est, sed satis est ut dies incipiat.","Romans eat a small meal in the morning. They often have dry bread with oil or cheese. Others eat eggs or honey with bread. Children drink milk; men often have wine mixed with water. Many Romans do not sit for long, but eat quickly before walking into the forum. Breakfast is therefore simple, but it is enough to start the day."
Cena Romana,Roman Dinner,food,A2,"Romani cenam sero sumunt. Hora nona aut decima familia ad mensam convenit. In cena sunt multa fercula. Primo servi gustationem portant: ova, olivas, panem. Deinde carnes aut pisces apponuntur. Saepe etiam legumina et caseus dantur. Postremo dulcia sunt: mala, pira, uva. Pueri vinum non bibunt, sed aquam; viri vinum aqua mixtum habent. Dum edunt, amici de vita et negotiis loquuntur. Cena non est brevis, sed longa et iucunda.","The Romans eat dinner late. At nine or ten o'clock the family gathers at table. There are many dishes at dinner. First the servants bring the appetizers: eggs, olives, bread. Then meat or fish are served. Often vegetables and cheese are also given. Finally there are sweets: apples, pears, grapes. The boys do not drink wine, but water; the men have wine mixed with water. While they eat, the friends talk about life and business. The dinner is not short, but long and enjoyable."
Prandium Romanum,Roman Lunch,food,A2,"Romani meridie prandium parvum edunt. Cibus saepe simplex est: panis, olivae, caseus, aut ova frigida. Nonnulli piscem aut carnem frigidam sumunt. Pueri interdum pomum edunt et aquam bibunt. Viri saepe vinum leviter mixtum capiunt. Prandium non longum est, sed brevis pausatio post laborem. Post prandium Romani iterum ad negotia sua redeunt. Cena vespertina multo maior erit.","Romans eat a small lunch at noon. The food is often simple: bread, olives, cheese, or cold eggs. Some people take fish or cold meat. Children sometimes eat an apple and drink water. Men often take lightly mixed wine. Lunch is not long, but a short break after work. After lunch, Romans return to their business. The evening meal will be much larger."
Cibus Viarius,Street Food,food,A2,,
Symbolismus in Rebus Quotidianis,Symbolism in Everyday Objects,drama,A2,,
Tapas,Tapas,food,A2,,
Beatles,The Beatles,culture,A2,,
Magnus Canion,The Grand Canyon,travel,A2,,
Magnus Murus Sinensis,The Great Wall of China,travel,A2,,
Crumella Perdita,The Lost Wallet,dialogue,A2,,
Diaeta Mediterranea,The Mediterranean Diet,health,A2,,
Urbs Vetus Hierosolymae,The Old City of Jerusalem,travel,A2,,
Statio Vigilum,The Police Station,dialogue,A2,,
Tabellarium Publicum,The Post Office,dialogue,A2,,
Popina,The Restaurant,dialogue,A2,,
Munus Fortunae in Historia,The Role of Luck in History,history,A2,,
Zombi,The Zombie,horror,A2,,
Solus Iter in Hispania,Traveling Alone in Spain,monologue,A2,,
Utopiae et Dystopiae,Utopias and Dystopias,drama,A2,,
Vulcana,Volcanoes,science,A2,,
Consilia Finis Hebdomadae,Weekend Plans,dialogue,A2,,
Cur Caelum Caeruleum Est,Why the Sky is Blue,science,A2,,
Cur Somniamus,Why We Dream,psychology,A2,,
,A Family Argument at Dinner,dialogue,B1,,
,A Misunderstanding at Work,dialogue,B1,,
,A Song of Ice and Fire,fantasy,B1,,
,Animal Crossing,culture,B1,,
,Antiheroes,drama,B1,,
,April in Spain,culture,B1,,
,Atomic Habits,psychology,B1,,
,August in Spain,culture,B1,,
,Berlin,travel,B1,,
,Biohacking,health,B1,,
,Bioluminescent Animals,science,B1,,
,Birth Order Theory,psychology,B1,,
,Blue Zones,health,B1,,
,Buddhism,philosophy,B1,,
,Clichés,drama,B1,,
,Climate Change,science,B1,,
,Complaining About a Service,dialogue,B1,,
,Confessions of a Bored Vampire,monologue,B1,,
,Cooking in a Hostel Kitchen,monologue,B1,,
,Dead Languages,language,B1,,
,December in Spain,culture,B1,,
,Democracy in Ancient Athens,history,B1,,
,Diego Rivera,biography,B1,,
,Digital Detoxes,health,B1,,
,Domestication,science,B1,,
,Dracula,horror,B1,,
,February in Spain,culture,B1,,
,Flavor Pairing,food,B1,,
,Frankenstein,horror,B1,,
,Frida Kahlo,biography,B1,,
,Fungi,science,B1,,
